Date,checkins,1st of Month,15th of Month,JewishHoliday,CNY15Days,CNY7Days,CNY,SuperBowl,Valentines,Holloween,NY,MLK,Pres Day,Easter,Memorial,MotherDay,FatherDay,July 4th,LaborDay,ColumbusDay,VeteransDay,ThxGiving,Xmas,LongWKend,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Sun,Mon,Tue,Wed,Thu,Fri,2010,2011,2012,Casino,SE,Seg 0-3,FIT,WS,Group,FIT ADR
2010-03-24,1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1067,159,356,893,360,831,141.2
2010-03-25,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1392,242,508,888,382,479,126.91
2010-03-26,1337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1723,511,800,794,380,296,98.04
2010-03-27,795,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1702,536,785,860,367,182,175.52
2010-03-28,1468,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1408,349,543,1154,469,102,150.93
2010-03-29,1354,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1098,224,339,1433,540,99,163.75
2010-03-30,930,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,957,193,235,1590,625,134,128.83
2010-03-31,958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,823,145,238,1634,649,157,139.14
2010-04-01,1291,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,819,227,333,1507,674,206,102.64
2010-04-02,1054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1066,421,494,1284,715,203,169.87
2010-04-03,603,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1069,435,515,1214,705,273,117.17
2010-04-04,953,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,957,322,431,1032,568,269,176.6
2010-04-05,1622,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,741,145,217,878,451,1197,189.07
2010-04-06,772,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,667,124,211,742,395,1368,276.85
2010-04-07,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,693,165,211,759,463,1286,220.32
2010-04-08,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,885,166,340,821,664,862,153.32
